@relation 'daily_preprocessing-weka.filters.unsupervised.attribute.Remove-V-R8-9,1-2,4,3,5,7,10-11,6,13,12,14-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-V'

@attribute ETo..in. numeric
@attribute Sol.Rad..Ly.day. numeric
@attribute Avg.Vap.Pres..mBars. numeric
@attribute Max.Air.Temp..F. numeric
@attribute Min.Air.Temp..F. numeric
@attribute Avg.Air.Temp..F. numeric
@attribute Max.Rel.Hum.... numeric
@attribute Min.Rel.Hum.... numeric
@attribute Avg.Rel.Hum.... numeric
@attribute Dew.Point..F. numeric
@attribute Avg.Wind.Speed..mph. numeric
@attribute Wind.Run..miles. numeric
@attribute Avg.Soil.Temp..F. numeric
@attribute class {False,True}

@data
0.05,190,8.3,66.5,38.3,51.1,90,38,65,39.8,2.9,68.9,47.8,False
0.11,337,5.5,83.5,38.5,58.1,57,16,33,29.3,2.3,54,56.9,False
0.06,231,11.5,65.5,45.4,55,98,57,78,48.2,4.7,113.8,53.6,False
0.01,70,10.8,51.2,41.3,47.6,99,87,96,46.5,3.1,74,50.4,False
0.27,729,17.2,90.1,55.4,72.5,99,39,63,59.2,4.6,111,70.5,False
0.04,164,12.9,61.3,46.8,53.7,99,75,91,51.3,3,71.1,54.5,False
0.15,386,10,75.7,48.1,61.1,71,35,54,44.4,6.6,157.4,62.7,False
0.06,177,6.8,62.7,39.7,51.4,61,42,53,34.7,3.2,77,47.7,False
0,52,11.2,50.3,42.9,47.6,99,99,100,47.4,2.8,67.9,51.2,False
0,27,13.1,54.5,46.1,51.8,100,99,100,51.8,3.1,74.7,52.7,False
0.21,554,13.1,84,54.1,68.6,94,30,55,51.7,5.2,125.3,72.1,False
0.07,200,7.2,59.4,38.4,47.5,89,40,65,36.2,6,143.6,49.2,False
0.04,164,8.4,56.3,31.8,46.4,99,60,78,40,3.8,90.8,48.1,False
0.09,272,8.9,78.3,43.1,59.1,96,30,52,41.4,2.8,67.9,58.2,False
0.06,240,9.5,59.6,38.6,47.4,99,58,85,43.1,4.3,102,49.4,False
0.07,228,9.6,64.4,38.4,50.6,99,43,76,43.3,4.8,114.1,50,False
0.17,278,5,66.3,36.6,52.9,89,16,37,27.2,11.1,267.3,52.9,False
0.08,264,8.6,70.6,39.5,53,98,38,62,40.5,3.9,94.5,55.1,False
0.3,717,13.4,99.9,56.3,79.3,99,12,39,52.4,5,119,73.9,False
0.22,556,13.7,76.7,53.8,66.5,96,47,62,53,8.1,195.6,72.5,False
0.08,248,9.9,74,43.4,57,93,36,63,44.4,4,95.8,52.1,False
0.28,750,13.3,88.8,57.7,72,75,33,50,52.2,4.8,114.3,72,False
0.08,262,11.4,75.7,44.3,59.6,94,43,65,48,4.1,99.2,53.9,False
0.05,189,12,78.4,44.1,57.1,99,43,75,49.3,3.1,75.2,54.3,False
0.29,756,17.5,91.5,58.4,74.4,99,36,60,59.7,5.4,129.2,73.8,False
0.15,266,7.1,76.1,48.3,62,56,21,37,35.8,7.2,172,53.8,False
0.08,38,12.1,73,32,60.8,96,47,67,49.6,4,94.8,56.8,False
0.1,303,9.9,78,43.3,59.4,93,29,57,44.4,3.3,78.6,54.8,False
0.11,305,10,81.5,43.3,60.6,89,29,55,44.5,3.6,86.3,54.9,False
0.25,601,15.5,88.8,62.8,74.6,70,34,53,56.3,6.9,166.4,76.1,False
0.11,222,5.9,65.7,40.7,53.3,73,24,42,31,8.5,203.3,52,False
0.12,349,12.1,76.5,46.1,61.1,88,46,66,49.6,6.2,147.9,62.4,False
0.12,334,5.2,66,40.3,51.2,59,25,40,28,5.9,142,51,False
0.1,274,6.5,70.5,34.8,50.9,71,24,51,33.6,5.4,128.5,50.8,False
0.16,350,5.3,67.5,41.6,52.6,89,15,39,28.6,9.5,227.1,51,False
0.13,346,5,69,35.2,52.1,59,22,37,26.9,5,120,50,False
0.11,343,7.1,73.3,36,54.2,72,29,49,35.7,3.4,80.6,51.5,False
0.23,560,10.2,100.1,56.2,78.9,60,14,30,45.1,4.2,101.2,72.5,False
0.32,699,14.1,102.8,61.3,84.1,92,18,35,53.7,5.6,135.3,75,False
0.1,325,4.2,57.1,32.3,44.1,61,25,42,22.7,5.1,123.3,48.2,False
0.1,367,4.9,59.4,33.6,44.9,79,24,48,26.6,4.1,98.5,48.4,False
0.22,496,15.4,90.4,63,75.5,93,32,51,56.2,7.6,183.5,72.5,False
0.12,356,5.9,60.9,27.9,46.2,71,37,56,31.2,6.6,158.3,47,False
0.12,385,6.6,67.7,35.4,51.3,83,27,51,33.9,5.4,130.5,49.8,False
0.17,405,4.2,61.5,36.2,47.7,85,16,37,22.8,10.8,259.6,48.3,False
0.09,279,7.4,60.6,28.6,47,89,47,67,36.8,5.5,132.8,48,False
0.1,404,8,58.1,34.5,45.9,99,53,76,38.8,4.4,106.2,48.7,False
0.3,747,13.9,91,59.6,76.4,82,28,45,53.4,5.4,130.8,73.9,False
0.25,520,10.2,98.8,68.4,82.7,38,16,27,45.1,5.9,142.2,70.9,False
0.08,283,9.9,79.4,42.1,57.4,98,36,62,44.3,2.7,64.1,57.5,False
0.15,371,7.4,85.7,47.1,65.4,58,19,34,36.6,4.6,109.7,63.1,False
0.03,138,11.8,62.2,47.7,56,93,62,77,48.9,2.9,68.6,55.9,False
0.29,743,14,101.3,63.8,82.7,61,22,37,53.5,3.7,89.9,71.9,False
0.24,570,13.1,86.1,59.5,71,71,29,51,51.8,8.6,205.8,72.7,False
0.12,431,9.3,66.6,36.7,52,99,40,70,42.5,3.4,81.2,53.3,False
0.11,323,9.7,81.4,42.2,59,100,24,57,43.8,3.5,83.6,58,False
0.14,473,8.1,62.1,38.6,49.7,99,40,67,39.1,6.1,147.5,53.7,False
0.14,379,2.7,74,43.5,56.8,27,8,17,12.8,5.3,126.3,59.3,False
0.2,491,9.4,78,32,67.2,70,26,41,42.9,4.6,109.3,59.1,False
0.26,723,16.9,86.9,56.5,71.2,99,42,65,58.7,5,119.1,73.9,False
0.2,509,11.2,84.4,50.1,66.5,83,27,50,47.4,5.3,126.8,60.1,False
0.06,170,6.2,61.5,41.8,50.3,55,43,50,32.4,3.2,76.9,48.8,False
0.17,459,10.8,83.4,47.9,64.6,83,25,52,46.6,3.8,90.8,61.5,False
0.21,542,10.6,80.6,44.8,63.1,90,31,53,46,6,143.2,61.1,False
0.2,524,10.8,77.5,52.7,63.8,72,36,54,46.7,5.8,138,61.8,False
0.21,551,8.4,80.6,45.7,62.9,89,14,43,40.1,4.6,111.6,61.4,False
0.18,459,8.3,78.4,48.8,62.6,80,11,43,39.6,4.6,110.3,61.8,False
0.19,572,11,70.8,46.9,58.6,99,44,65,47.1,6.2,148.5,61,False
0.18,532,12.4,77.4,47.6,64.1,93,40,61,50.3,3.7,90,62.7,False
0.11,311,13,71.9,50.3,63.2,87,28,66,51.5,6.6,158.4,63.6,False
0.26,705,16.1,88.5,55,72.2,99,33,60,57.4,5.3,128.2,73.6,False
0.29,751,16.5,96.5,57.8,77.5,99,23,51,58.1,4.1,98.6,74.5,False
0.2,589,10.9,78.9,45.1,63.2,91,39,55,46.7,4.4,105,62.3,False
0.23,569,8.9,71.7,48.1,58.7,75,34,52,41.4,8.6,206,62.1,False
0.15,538,8.7,64.7,36.8,50.3,99,38,70,40.8,4.1,99,57.8,False
0.16,417,6.5,81.5,45.4,61.6,59,17,35,33.5,4.3,103.5,62.5,False
0.27,674,14.4,91.3,56.7,74.4,96,28,49,54.3,5.9,140.5,72.7,False
0.24,627,9.5,80,47.2,64.5,79,27,46,43.1,6.4,154.4,60.6,False
0.28,601,13.4,98.6,58.5,79.7,69,20,39,52.3,5.7,136,75.2,False
0.23,614,12.8,85.7,48.5,68,90,34,55,51.1,4.9,118.7,64,False
0.25,623,11.5,86.2,53.4,70.1,87,23,46,48.1,5.3,127.4,65.2,False
0.24,629,11.3,82.6,49.9,65.9,89,34,52,47.8,5,121.1,65.4,False
0.24,625,10.7,84.4,47.9,64.7,88,27,51,46.4,5.5,131,64.9,False
0.23,631,9.5,78.7,48.5,62,85,22,50,43.2,5.8,138.9,65.2,False
0.2,573,9.9,71.5,48.2,59.8,76,38,57,44.4,6.8,164,64.4,False
0.14,420,9.7,67.5,45.8,57.3,87,39,60,43.6,6,145.2,62.6,False
0.28,719,14.6,92.6,58.7,75.3,99,23,49,54.8,5,119.8,74.4,False
0.17,358,3.3,72.6,37.8,55.2,47,11,22,17,7.6,181.2,57.5,False
0.24,622,9.6,77.7,50.1,62.8,75,29,49,43.3,7.3,174.3,64.3,False
0.24,670,10.5,80.2,45.2,62.7,94,33,54,45.8,5.2,123.7,64.9,False
0.23,672,11.1,79.9,47.7,63,97,29,56,47.3,4.8,115.5,65.3,False
0.24,650,11.7,85.9,48.3,66.8,97,22,52,48.8,4.4,104.5,66.4,False
0.2,467,10.8,82.5,52.7,66.6,84,32,48,46.5,5.8,138.2,66.6,False
0.27,680,11.6,85.2,54.7,69.4,73,23,47,48.5,5.5,132.5,72.9,False
0.07,261,8.8,69.6,39,51.6,99,45,68,41.3,3.1,75.1,56,False
0.26,657,15.6,91.3,58.8,74.4,98,29,54,56.5,5.1,122.9,76,False
0.28,715,11,80.8,57.6,67.8,72,20,47,47.1,7.8,187.1,69.1,False
0.26,687,11.6,83.8,52.5,67.9,83,30,50,48.4,6,144.4,69.2,False
0.28,633,15.4,97.6,55.3,77.7,99,23,48,56.2,5.7,136.2,74.2,False
0.32,715,8.5,85.1,55.5,70.7,68,21,33,40.2,8.7,208.5,68.6,False
0.25,715,11.8,77.2,49.4,62.6,90,43,61,49,6.8,164,68.4,False
0.24,665,15.3,86.7,53.5,70,99,39,61,56,5.3,127.4,74.6,False
0.25,723,10.9,73.7,50.1,61.9,80,42,58,46.8,8.1,193.7,68.4,False
0.23,659,10.2,73.4,52.3,61.9,76,35,54,45.1,6.5,156.7,68.3,False
0.25,717,11.9,81,48.8,64.3,86,37,58,49.2,5.4,128.7,69,False
0.24,719,13.1,85.4,51,65.6,90,40,61,51.7,4.5,108.9,70.2,False
0.26,736,11.2,76.9,51.1,62.9,86,38,57,47.5,7,168.4,69.8,False
0.22,678,11,71.5,50.1,60,83,45,62,47,6.6,158.5,68.8,False
0.25,717,12.2,83.8,47.7,65,91,35,58,49.8,4.6,111.1,69.4,False
0.09,285,8.1,82.3,43.8,60.5,70,25,45,39,2.5,60.2,58.5,False
0.23,718,12.3,72.5,51.9,61.1,89,47,67,49.9,5.9,141.6,69.7,False
0.12,358,2.9,71.3,39.4,53.6,41,13,21,14.3,3.9,94.1,57,False
0.1,309,11.6,67.9,50.1,59.8,89,55,66,48.5,5.3,127.4,67.4,False
0.19,571,13.1,77.4,50.1,63.3,92,46,66,51.7,4.7,113.3,67.7,False
0.29,649,14.3,95.9,62.4,78.7,94,15,43,54.2,5.6,134.3,74.5,False
0.29,749,14.1,95.2,54.4,76.5,86,27,45,53.7,4.6,109.5,72.9,False
0.31,748,13.9,97,58.3,77.9,87,22,43,53.4,5.4,129.2,74.6,False
0.28,738,18.8,96.5,58.4,77.7,99,33,58,61.7,4.6,110,72.1,False
0.28,742,14.6,94.2,55.4,74.2,99,30,51,54.8,3.7,88.2,73.4,False
0.28,609,15.3,97.1,60.5,78,99,20,47,56,6.4,153.9,76.1,False
0.29,768,12.7,98.7,52.7,76.2,87,20,41,51,3.6,86.4,72.8,False
0.29,757,14.3,98.8,56,78.2,85,24,43,54.2,3.7,88.4,75.1,False
0.33,773,10.7,90.5,53.3,73.6,79,18,38,46.3,7.4,176.9,74.2,False
0.22,552,11.1,94.3,56.7,75.8,67,20,37,47.4,4.3,104,72.5,False
0.26,748,11.6,76.2,50.8,63,80,42,59,48.5,6.3,151.4,71.8,False
0.21,574,14.1,85.8,56,70.1,94,34,56,53.7,6,143.4,72.4,False
0.31,765,11,88,51.2,72,76,26,41,46.9,6.4,154.7,72.8,False
0.28,690,11.2,76.4,56.2,66.4,79,33,50,47.4,8.5,204.7,72.4,False
0.27,762,12.1,77.6,55.3,66.8,90,32,54,49.6,6.1,147.5,70.8,False
0.29,777,12,90.4,53.9,72.7,66,26,44,49.4,5,119.1,73.1,False
0.32,777,13.4,96.6,54.7,77.4,86,20,42,52.4,5.2,124.9,74.8,False
0.3,775,15,96,54.3,76.1,93,30,49,55.3,4.5,108.3,75.7,False
0.04,123,8.3,68.1,49.5,55.6,57,50,55,39.6,2.9,68.6,52.1,False
0.27,771,12.9,83.9,52.1,66.9,99,35,57,51.2,5,119.5,74.1,False
0.27,773,13.1,83.6,48.7,65.2,92,40,62,51.8,5.9,141.7,73.1,False
0.25,756,12.6,80.6,54.8,66.1,76,40,57,50.6,5.8,139.5,73.3,False
0.17,446,7.9,91.8,50.8,70.9,60,18,31,38.5,3.5,84.6,66.4,False
0.31,794,11.8,89.6,55.3,71,89,17,46,49,5.5,132.3,74.1,False
0.3,794,13,90.9,49.9,71.9,82,29,49,51.5,4.8,114.8,73.6,False
0.23,568,12.5,87.8,52.2,70.6,88,15,49,50.4,6.2,148.9,71.6,False
0.23,541,10.2,89.1,55.2,73.1,60,21,37,45.1,5.7,136.5,68.5,False
0.1,324,8.1,80.3,42.4,58.7,68,25,48,39,2.8,68,58.1,False
0.28,770,12.8,87.2,52.4,69.6,91,30,52,51,4.5,108,74.1,False
0.26,736,16.2,85.7,55.2,69.6,99,41,66,57.6,5.8,139.2,70.1,False
0.34,767,14,101,64.5,82.9,63,22,36,53.6,5.8,139.6,76.1,False
