@relation 'daily_preprocessing-weka.filters.unsupervised.attribute.Remove-V-R2,4,8-9,12,14'

@attribute Sol.Rad..Ly.day. numeric
@attribute Max.Air.Temp..F. numeric
@attribute Min.Rel.Hum.... numeric
@attribute Avg.Rel.Hum.... numeric
@attribute Wind.Run..miles. numeric
@attribute class {False,True}

@data
190,66.5,38,65,68.9,False
105,60.1,59,72,53.6,False
77,55,70,86,74.7,True
141,67.3,70,92,85.2,True
80,63,90,98,107.6,True
231,65.5,57,78,113.8,False
70,51.2,87,96,74,False
33,57.6,99,100,111.2,True
63,60.9,83,96,120.9,True
94,59.4,68,83,108.3,False
164,61.3,75,91,71.1,False
73,58.4,85,98,101.3,False
42,52,92,98,85.1,True
44,51.6,93,98,93.9,False
52,50.3,99,100,67.9,False
64,55.6,99,100,84,True
27,54.5,99,100,74.7,False
70,59.4,84,98,140.5,True
189,59.6,51,72,160.4,False
200,59.4,40,65,143.6,False
164,56.3,60,78,90.8,False
58,53.8,84,93,162.5,True
238,59.8,71,89,69.4,False
10,59.7,63,90,175.7,True
147,58.3,60,82,116.9,True
240,59.6,58,85,102,False
228,64.4,43,76,114.1,False
249,66.8,59,81,81.1,False
124,59.1,71,92,61,False
219,69.9,49,84,75.4,False
245,69.4,41,69,95.5,False
248,74,36,63,95.8,False
254,73.8,41,67,97.2,False
262,75.7,43,65,99.2,False
189,78.4,43,75,75.2,False
244,78.8,35,66,78.7,False
266,76.1,21,37,172,False
38,73,47,67,94.8,False
303,78,29,57,78.6,False
305,81.5,29,55,86.3,False
292,74.4,15,40,258.9,False
222,65.7,24,42,203.3,False
292,62.1,34,51,194.1,False
334,66,25,40,142,False
274,70.5,24,51,128.5,False
350,67.5,15,39,227.1,False
346,69,22,37,120,False
343,73.3,29,49,80.6,False
355,61.9,36,56,308.9,False
328,55.9,29,47,212.6,False
325,57.1,25,42,123.3,False
367,59.4,24,48,98.5,False
313,57.8,37,62,222.6,True
391,56.9,19,40,226.9,False
356,60.9,37,56,158.3,False
385,67.7,27,51,130.5,False
196,57.5,48,74,187.3,True
405,61.5,16,37,259.6,False
279,60.6,47,67,132.8,False
132,59.7,63,84,255.3,True
248,56.3,61,81,147.5,True
273,54.7,66,86,129.3,True
404,58.1,53,76,106.2,False
440,63.9,38,66,126,False
389,68.7,39,64,87.9,False
364,73.5,36,60,77,False
386,71.5,47,66,116.8,True
370,71.7,40,65,117.4,False
138,62.2,62,77,68.6,False
431,71.1,47,73,84.5,False
355,77.4,46,75,128.2,True
126,61.8,63,84,168.6,True
245,60.1,64,83,130.7,True
253,59.1,64,77,214.5,True
360,58.7,51,76,180.7,True
258,56.9,55,81,114.3,True
334,59.1,50,78,61.2,False
431,66.6,40,70,81.2,False
79,55.5,82,91,134.7,True
173,67.4,84,96,161.4,True
312,65.6,54,79,232.3,True
462,63.5,39,62,157.3,False
380,59.1,47,69,167.2,True
473,62.1,40,67,147.5,False
530,68.3,21,42,261,False
491,78,26,41,109.3,False
525,81.9,34,57,105.3,False
509,84.4,27,50,126.8,False
436,80.9,36,55,102.5,False
459,83.4,25,52,90.8,False
542,80.6,31,53,143.2,False
524,77.5,36,54,138,False
551,80.6,14,43,111.6,False
459,78.4,11,43,110.3,False
240,68.8,23,53,114.1,True
81,62.6,99,100,170.2,True
449,70,51,76,173,True
572,70.8,44,65,148.5,False
532,77.4,40,61,90,False
311,71.9,28,66,158.4,False
416,67.7,37,63,207.2,True
566,63.8,39,56,241.7,False
592,73.2,32,50,150.5,False
589,78.9,39,55,105,False
569,71.7,34,52,206,False
341,58.6,49,73,137.7,True
538,64.7,38,70,99,False
352,65.8,39,59,103.6,False
617,71.9,31,48,160.9,False
