@relation 'daily_preprocessing-weka.filters.unsupervised.attribute.Remove-V-R2,8,1,9,4,6,13,7,12,11,10,3,5,14'

@attribute ETo..in. numeric
@attribute Sol.Rad..Ly.day. numeric
@attribute Avg.Vap.Pres..mBars. numeric
@attribute Max.Air.Temp..F. numeric
@attribute Min.Air.Temp..F. numeric
@attribute Avg.Air.Temp..F. numeric
@attribute Max.Rel.Hum.... numeric
@attribute Min.Rel.Hum.... numeric
@attribute Avg.Rel.Hum.... numeric
@attribute Dew.Point..F. numeric
@attribute Avg.Wind.Speed..mph. numeric
@attribute Wind.Run..miles. numeric
@attribute Avg.Soil.Temp..F. numeric
@attribute class {False,True}

@data
0.05,190,8.3,66.5,38.3,51.1,90,38,65,39.8,2.9,68.9,47.8,False
0.03,105,8.6,60.1,39.8,49.1,85,59,72,40.6,2.2,53.6,48,False
0.01,77,10,55,38.5,48.5,99,70,86,44.5,3.1,74.7,48.6,True
0.03,141,13.7,67.3,49,55,99,70,92,52.9,3.5,85.2,51.6,True
0.01,80,14.2,63,47.8,54.5,99,90,98,54,4.5,107.6,52.8,True
0.06,231,11.5,65.5,45.4,55,98,57,78,48.2,4.7,113.8,53.6,False
0.01,70,10.8,51.2,41.3,47.6,99,87,96,46.5,3.1,74,50.4,False
0,33,13.5,57.6,47.8,52.5,99,99,100,52.5,4.6,111.2,51.6,True
0.01,63,14.6,60.9,51,55.9,99,83,96,54.7,5,120.9,55.1,True
0.02,94,11.3,59.4,46.8,53,94,68,83,47.8,4.5,108.3,53.5,False
0.04,164,12.9,61.3,46.8,53.7,99,75,91,51.3,3,71.1,54.5,False
0.01,73,11.2,58.4,42.3,48,99,85,98,47.6,4.2,101.3,51.4,False
0,42,11.3,52,39.7,48.5,99,92,98,47.9,3.5,85.1,50.5,True
0,44,11.8,51.6,46.6,49.4,99,93,98,48.8,3.9,93.9,51.8,False
0,52,11.2,50.3,42.9,47.6,99,99,100,47.4,2.8,67.9,51.2,False
0.01,64,12.9,55.6,48.2,51.5,99,99,100,51.4,3.5,84,52.4,True
0,27,13.1,54.5,46.1,51.8,100,99,100,51.8,3.1,74.7,52.7,False
0.01,70,13.6,59.4,49.7,53.3,100,84,98,52.8,5.9,140.5,54.3,True
0.06,189,9.3,59.6,44.1,51.2,92,51,72,42.7,6.7,160.4,52.6,False
0.07,200,7.2,59.4,38.4,47.5,89,40,65,36.2,6,143.6,49.2,False
0.04,164,8.4,56.3,31.8,46.4,99,60,78,40,3.8,90.8,48.1,False
0.01,58,11.2,53.8,46.7,49.4,99,84,93,47.4,6.8,162.5,50.7,True
0.05,238,11.1,59.8,41.3,50.5,99,71,89,47.3,2.9,69.4,51.9,False
0.01,10,11.6,59.7,49.2,51.5,99,63,90,48.5,7.3,175.7,51.7,True
0.04,147,9.5,58.3,40.4,48.4,97,60,82,43.2,4.9,116.9,50.3,True
0.06,240,9.5,59.6,38.6,47.4,99,58,85,43.1,4.3,102,49.4,False
0.07,228,9.6,64.4,38.4,50.6,99,43,76,43.3,4.8,114.1,50,False
0.06,249,10.2,66.8,39.7,50.8,98,59,81,45.1,3.4,81.1,50.6,False
0.02,124,10.7,59.1,39.2,48.5,99,71,92,46.4,2.5,61,50.3,False
0.05,219,10.6,69.9,37.4,50.6,99,49,84,46.1,3.1,75.4,50.6,False
0.08,245,9.8,69.4,40.4,53.8,99,41,69,44,4,95.5,50.8,False
0.08,248,9.9,74,43.4,57,93,36,63,44.4,4,95.8,52.1,False
0.08,254,11.1,73.8,44.5,58.2,95,41,67,47.2,4.1,97.2,53,False
0.08,262,11.4,75.7,44.3,59.6,94,43,65,48,4.1,99.2,53.9,False
0.05,189,12,78.4,44.1,57.1,99,43,75,49.3,3.1,75.2,54.3,False
0.07,244,11.1,78.8,42.9,58.7,99,35,66,47.3,3.3,78.7,54.3,False
0.15,266,7.1,76.1,48.3,62,56,21,37,35.8,7.2,172,53.8,False
0.08,38,12.1,73,32,60.8,96,47,67,49.6,4,94.8,56.8,False
0.1,303,9.9,78,43.3,59.4,93,29,57,44.4,3.3,78.6,54.8,False
0.11,305,10,81.5,43.3,60.6,89,29,55,44.5,3.6,86.3,54.9,False
0.19,292,6.8,74.4,47.5,59.1,85,15,40,34.7,10.8,258.9,54,False
0.11,222,5.9,65.7,40.7,53.3,73,24,42,31,8.5,203.3,52,False
0.12,292,6.7,62.1,41.1,51.5,79,34,51,34.2,8.1,194.1,51.6,False
0.12,334,5.2,66,40.3,51.2,59,25,40,28,5.9,142,51,False
0.1,274,6.5,70.5,34.8,50.9,71,24,51,33.6,5.4,128.5,50.8,False
0.16,350,5.3,67.5,41.6,52.6,89,15,39,28.6,9.5,227.1,51,False
0.13,346,5,69,35.2,52.1,59,22,37,26.9,5,120,50,False
0.11,343,7.1,73.3,36,54.2,72,29,49,35.7,3.4,80.6,51.5,False
0.16,355,7.5,61.9,42.7,52,84,36,56,37,12.9,308.9,52,False
0.11,328,4.9,55.9,37.7,45.5,64,29,47,26.4,8.9,212.6,49.6,False
0.1,325,4.2,57.1,32.3,44.1,61,25,42,22.7,5.1,123.3,48.2,False
0.1,367,4.9,59.4,33.6,44.9,79,24,48,26.6,4.1,98.5,48.4,False
0.11,313,6.4,57.8,35.8,45.3,81,37,62,33.2,9.3,222.6,47.8,True
0.15,391,4,56.9,34.7,44.6,69,19,40,21.8,9.5,226.9,46.9,False
0.12,356,5.9,60.9,27.9,46.2,71,37,56,31.2,6.6,158.3,47,False
0.12,385,6.6,67.7,35.4,51.3,83,27,51,33.9,5.4,130.5,49.8,False
0.07,196,8.6,57.5,42.4,48.6,95,48,74,40.7,7.8,187.3,51.1,True
0.17,405,4.2,61.5,36.2,47.7,85,16,37,22.8,10.8,259.6,48.3,False
0.09,279,7.4,60.6,28.6,47,89,47,67,36.8,5.5,132.8,48,False
0.02,132,10.6,59.7,46,51,98,63,84,46.2,10.6,255.3,50.8,True
0.06,248,9,56.3,38.5,47.4,96,61,81,41.9,6.1,147.5,50.1,True
0.06,273,8.6,54.7,36.2,44.6,99,66,86,40.6,5.4,129.3,49.2,True
0.1,404,8,58.1,34.5,45.9,99,53,76,38.8,4.4,106.2,48.7,False
0.12,440,7.5,63.9,34.8,47.8,92,38,66,37.1,5.2,126,48.8,False
0.11,389,8.4,68.7,36.6,51.6,90,39,64,39.9,3.7,87.9,50.7,False
0.11,364,9.6,73.5,46,56.9,89,36,60,43.4,3.2,77,53.8,False
0.13,386,11.5,71.5,50.2,59.7,99,47,66,48.2,4.9,116.8,56.5,True
0.12,370,11.2,71.7,49.2,59.2,88,40,65,47.4,4.9,117.4,56.3,False
0.03,138,11.8,62.2,47.7,56,93,62,77,48.9,2.9,68.6,55.9,False
0.12,431,11.4,71.1,41.4,56.8,100,47,73,48.1,3.5,84.5,56,False
0.12,355,13.8,77.4,46.4,61.3,95,46,75,53.2,5.3,128.2,57.7,True
0.04,126,13.8,61.8,49.5,57.8,99,63,84,53.1,7,168.6,57.7,True
0.06,245,10.7,60.1,45.9,51.4,99,64,83,46.4,5.4,130.7,55.2,True
0.07,253,9.6,59.1,41.5,50.3,91,64,77,43.5,8.9,214.5,53,True
0.11,360,9.5,58.7,43.3,50.4,99,51,76,43.1,7.5,180.7,53.9,True
0.06,258,8.8,56.9,39.8,46.7,98,55,81,41.2,4.8,114.3,52.2,True
0.08,334,8.8,59.1,35.3,47.8,99,50,78,41.2,2.6,61.2,51.8,False
0.12,431,9.3,66.6,36.7,52,99,40,70,42.5,3.4,81.2,53.3,False
0.01,79,12.4,55.5,50.9,52.9,99,82,91,50.3,5.6,134.7,54.3,True
0.04,173,16.6,67.4,52.5,59.3,99,84,96,58.2,6.7,161.4,56.5,True
0.1,312,12.7,65.6,45.2,57.2,99,54,79,50.9,9.7,232.3,58,True
0.13,462,8.2,63.5,39.3,51.9,84,39,62,39.4,6.6,157.3,55,False
0.11,380,8.8,59.1,43.3,51.1,88,47,69,41.3,7,167.2,55,True
0.14,473,8.1,62.1,38.6,49.7,99,40,67,39.1,6.1,147.5,53.7,False
0.23,530,6.5,68.3,44.4,56.7,76,21,42,33.6,10.9,261,53.8,False
0.2,491,9.4,78,32,67.2,70,26,41,42.9,4.6,109.3,59.1,False
0.18,525,11.1,81.9,44.6,63,96,34,57,47.4,4.4,105.3,58.1,False
0.2,509,11.2,84.4,50.1,66.5,83,27,50,47.4,5.3,126.8,60.1,False
0.16,436,11.9,80.9,49.5,65.6,79,36,55,49.1,4.3,102.5,60.8,False
0.17,459,10.8,83.4,47.9,64.6,83,25,52,46.6,3.8,90.8,61.5,False
0.21,542,10.6,80.6,44.8,63.1,90,31,53,46,6,143.2,61.1,False
0.2,524,10.8,77.5,52.7,63.8,72,36,54,46.7,5.8,138,61.8,False
0.21,551,8.4,80.6,45.7,62.9,89,14,43,40.1,4.6,111.6,61.4,False
0.18,459,8.3,78.4,48.8,62.6,80,11,43,39.6,4.6,110.3,61.8,False
0.1,240,9.4,68.8,53.5,59.8,99,23,53,42.8,4.8,114.1,60.9,True
0,81,16.8,62.6,55.4,58.6,99,99,100,58.5,7.1,170.2,60.4,True
0.15,449,14.3,70,49,61.7,99,51,76,54,7.2,173,62.7,True
0.19,572,11,70.8,46.9,58.6,99,44,65,47.1,6.2,148.5,61,False
0.18,532,12.4,77.4,47.6,64.1,93,40,61,50.3,3.7,90,62.7,False
0.11,311,13,71.9,50.3,63.2,87,28,66,51.5,6.6,158.4,63.6,False
0.15,416,9.5,67.7,47.9,55.6,88,37,63,43.2,8.6,207.2,60.7,True
0.2,566,8,63.8,45.6,53.9,80,39,56,38.8,10.1,241.7,58.6,False
0.21,592,8.5,73.2,44.8,58.7,73,32,50,40.2,6.3,150.5,59.4,False
0.2,589,10.9,78.9,45.1,63.2,91,39,55,46.7,4.4,105,62.3,False
0.23,569,8.9,71.7,48.1,58.7,75,34,52,41.4,8.6,206,62.1,False
0.09,341,8.9,58.6,41.3,49.7,96,49,73,41.5,5.7,137.7,58.9,True
0.15,538,8.7,64.7,36.8,50.3,99,38,70,40.8,4.1,99,57.8,False
0.11,352,8.2,65.8,44.2,53.2,90,39,59,39.5,4.3,103.6,58.1,False
0.22,617,8,71.9,40.9,58.3,82,31,48,38.7,6.7,160.9,58.4,False
0.24,627,9.5,80,47.2,64.5,79,27,46,43.1,6.4,154.4,60.6,False
0.22,618,11.8,83.4,46.6,65.9,82,34,54,49,4.2,99.6,62.9,False
0.23,614,12.8,85.7,48.5,68,90,34,55,51.1,4.9,118.7,64,False
0.25,623,11.5,86.2,53.4,70.1,87,23,46,48.1,5.3,127.4,65.2,False
0.24,629,11.3,82.6,49.9,65.9,89,34,52,47.8,5,121.1,65.4,False
0.24,625,10.7,84.4,47.9,64.7,88,27,51,46.4,5.5,131,64.9,False
0.23,631,9.5,78.7,48.5,62,85,22,50,43.2,5.8,138.9,65.2,False
0.2,573,9.9,71.5,48.2,59.8,76,38,57,44.4,6.8,164,64.4,False
0.14,420,9.7,67.5,45.8,57.3,87,39,60,43.6,6,145.2,62.6,False
0.21,587,10.1,72.4,49.4,59.3,79,39,59,44.8,7.3,175,63,False
0.19,587,10.4,71,47.3,58.8,88,40,61,45.5,5.4,130.4,63.6,False
0.24,622,9.6,77.7,50.1,62.8,75,29,49,43.3,7.3,174.3,64.3,False
0.24,670,10.5,80.2,45.2,62.7,94,33,54,45.8,5.2,123.7,64.9,False
0.23,672,11.1,79.9,47.7,63,97,29,56,47.3,4.8,115.5,65.3,False
0.24,650,11.7,85.9,48.3,66.8,97,22,52,48.8,4.4,104.5,66.4,False
0.2,467,10.8,82.5,52.7,66.6,84,32,48,46.5,5.8,138.2,66.6,False
