@relation 'daily_preprocessing-weka.filters.unsupervised.attribute.Remove-R4-5,7-8'

@attribute ETo..in. numeric
@attribute Sol.Rad..Ly.day. numeric
@attribute Avg.Vap.Pres..mBars. numeric
@attribute Avg.Air.Temp..F. numeric
@attribute Avg.Rel.Hum.... numeric
@attribute Dew.Point..F. numeric
@attribute Avg.Wind.Speed..mph. numeric
@attribute Wind.Run..miles. numeric
@attribute Avg.Soil.Temp..F. numeric
@attribute class {False,True}

@data
0.05,190,8.3,51.1,65,39.8,2.9,68.9,47.8,False
0.03,105,8.6,49.1,72,40.6,2.2,53.6,48,False
0.01,77,10,48.5,86,44.5,3.1,74.7,48.6,True
0.03,141,13.7,55,92,52.9,3.5,85.2,51.6,True
0.01,80,14.2,54.5,98,54,4.5,107.6,52.8,True
0.06,231,11.5,55,78,48.2,4.7,113.8,53.6,False
0.01,70,10.8,47.6,96,46.5,3.1,74,50.4,False
0,33,13.5,52.5,100,52.5,4.6,111.2,51.6,True
0.01,63,14.6,55.9,96,54.7,5,120.9,55.1,True
0.02,94,11.3,53,83,47.8,4.5,108.3,53.5,False
0.04,164,12.9,53.7,91,51.3,3,71.1,54.5,False
0.01,73,11.2,48,98,47.6,4.2,101.3,51.4,False
0,42,11.3,48.5,98,47.9,3.5,85.1,50.5,True
0,44,11.8,49.4,98,48.8,3.9,93.9,51.8,False
0,52,11.2,47.6,100,47.4,2.8,67.9,51.2,False
0.01,64,12.9,51.5,100,51.4,3.5,84,52.4,True
0,27,13.1,51.8,100,51.8,3.1,74.7,52.7,False
0.01,70,13.6,53.3,98,52.8,5.9,140.5,54.3,True
0.06,189,9.3,51.2,72,42.7,6.7,160.4,52.6,False
0.07,200,7.2,47.5,65,36.2,6,143.6,49.2,False
0.04,164,8.4,46.4,78,40,3.8,90.8,48.1,False
0.01,58,11.2,49.4,93,47.4,6.8,162.5,50.7,True
0.05,238,11.1,50.5,89,47.3,2.9,69.4,51.9,False
0.01,10,11.6,51.5,90,48.5,7.3,175.7,51.7,True
0.04,147,9.5,48.4,82,43.2,4.9,116.9,50.3,True
0.06,240,9.5,47.4,85,43.1,4.3,102,49.4,False
0.07,228,9.6,50.6,76,43.3,4.8,114.1,50,False
0.06,249,10.2,50.8,81,45.1,3.4,81.1,50.6,False
0.02,124,10.7,48.5,92,46.4,2.5,61,50.3,False
0.05,219,10.6,50.6,84,46.1,3.1,75.4,50.6,False
0.08,245,9.8,53.8,69,44,4,95.5,50.8,False
0.08,248,9.9,57,63,44.4,4,95.8,52.1,False
0.08,254,11.1,58.2,67,47.2,4.1,97.2,53,False
0.08,262,11.4,59.6,65,48,4.1,99.2,53.9,False
0.05,189,12,57.1,75,49.3,3.1,75.2,54.3,False
0.07,244,11.1,58.7,66,47.3,3.3,78.7,54.3,False
0.15,266,7.1,62,37,35.8,7.2,172,53.8,False
0.08,38,12.1,60.8,67,49.6,4,94.8,56.8,False
0.1,303,9.9,59.4,57,44.4,3.3,78.6,54.8,False
0.11,305,10,60.6,55,44.5,3.6,86.3,54.9,False
0.19,292,6.8,59.1,40,34.7,10.8,258.9,54,False
0.11,222,5.9,53.3,42,31,8.5,203.3,52,False
0.12,292,6.7,51.5,51,34.2,8.1,194.1,51.6,False
0.12,334,5.2,51.2,40,28,5.9,142,51,False
0.1,274,6.5,50.9,51,33.6,5.4,128.5,50.8,False
0.16,350,5.3,52.6,39,28.6,9.5,227.1,51,False
0.13,346,5,52.1,37,26.9,5,120,50,False
0.11,343,7.1,54.2,49,35.7,3.4,80.6,51.5,False
0.16,355,7.5,52,56,37,12.9,308.9,52,False
0.11,328,4.9,45.5,47,26.4,8.9,212.6,49.6,False
0.1,325,4.2,44.1,42,22.7,5.1,123.3,48.2,False
0.1,367,4.9,44.9,48,26.6,4.1,98.5,48.4,False
0.11,313,6.4,45.3,62,33.2,9.3,222.6,47.8,True
0.15,391,4,44.6,40,21.8,9.5,226.9,46.9,False
0.12,356,5.9,46.2,56,31.2,6.6,158.3,47,False
0.12,385,6.6,51.3,51,33.9,5.4,130.5,49.8,False
0.07,196,8.6,48.6,74,40.7,7.8,187.3,51.1,True
0.17,405,4.2,47.7,37,22.8,10.8,259.6,48.3,False
0.09,279,7.4,47,67,36.8,5.5,132.8,48,False
0.02,132,10.6,51,84,46.2,10.6,255.3,50.8,True
0.06,248,9,47.4,81,41.9,6.1,147.5,50.1,True
0.06,273,8.6,44.6,86,40.6,5.4,129.3,49.2,True
0.1,404,8,45.9,76,38.8,4.4,106.2,48.7,False
0.12,440,7.5,47.8,66,37.1,5.2,126,48.8,False
0.11,389,8.4,51.6,64,39.9,3.7,87.9,50.7,False
0.11,364,9.6,56.9,60,43.4,3.2,77,53.8,False
0.13,386,11.5,59.7,66,48.2,4.9,116.8,56.5,True
0.12,370,11.2,59.2,65,47.4,4.9,117.4,56.3,False
0.03,138,11.8,56,77,48.9,2.9,68.6,55.9,False
0.12,431,11.4,56.8,73,48.1,3.5,84.5,56,False
0.12,355,13.8,61.3,75,53.2,5.3,128.2,57.7,True
0.04,126,13.8,57.8,84,53.1,7,168.6,57.7,True
0.06,245,10.7,51.4,83,46.4,5.4,130.7,55.2,True
0.07,253,9.6,50.3,77,43.5,8.9,214.5,53,True
0.11,360,9.5,50.4,76,43.1,7.5,180.7,53.9,True
0.06,258,8.8,46.7,81,41.2,4.8,114.3,52.2,True
0.08,334,8.8,47.8,78,41.2,2.6,61.2,51.8,False
0.12,431,9.3,52,70,42.5,3.4,81.2,53.3,False
0.01,79,12.4,52.9,91,50.3,5.6,134.7,54.3,True
0.04,173,16.6,59.3,96,58.2,6.7,161.4,56.5,True
0.1,312,12.7,57.2,79,50.9,9.7,232.3,58,True
0.13,462,8.2,51.9,62,39.4,6.6,157.3,55,False
0.11,380,8.8,51.1,69,41.3,7,167.2,55,True
0.14,473,8.1,49.7,67,39.1,6.1,147.5,53.7,False
0.23,530,6.5,56.7,42,33.6,10.9,261,53.8,False
0.2,491,9.4,67.2,41,42.9,4.6,109.3,59.1,False
0.18,525,11.1,63,57,47.4,4.4,105.3,58.1,False
0.2,509,11.2,66.5,50,47.4,5.3,126.8,60.1,False
0.16,436,11.9,65.6,55,49.1,4.3,102.5,60.8,False
0.17,459,10.8,64.6,52,46.6,3.8,90.8,61.5,False
0.21,542,10.6,63.1,53,46,6,143.2,61.1,False
0.2,524,10.8,63.8,54,46.7,5.8,138,61.8,False
0.21,551,8.4,62.9,43,40.1,4.6,111.6,61.4,False
0.18,459,8.3,62.6,43,39.6,4.6,110.3,61.8,False
0.1,240,9.4,59.8,53,42.8,4.8,114.1,60.9,True
0,81,16.8,58.6,100,58.5,7.1,170.2,60.4,True
0.15,449,14.3,61.7,76,54,7.2,173,62.7,True
0.19,572,11,58.6,65,47.1,6.2,148.5,61,False
0.18,532,12.4,64.1,61,50.3,3.7,90,62.7,False
0.11,311,13,63.2,66,51.5,6.6,158.4,63.6,False
0.15,416,9.5,55.6,63,43.2,8.6,207.2,60.7,True
0.2,566,8,53.9,56,38.8,10.1,241.7,58.6,False
0.21,592,8.5,58.7,50,40.2,6.3,150.5,59.4,False
0.2,589,10.9,63.2,55,46.7,4.4,105,62.3,False
0.23,569,8.9,58.7,52,41.4,8.6,206,62.1,False
0.09,341,8.9,49.7,73,41.5,5.7,137.7,58.9,True
0.15,538,8.7,50.3,70,40.8,4.1,99,57.8,False
0.11,352,8.2,53.2,59,39.5,4.3,103.6,58.1,False
0.22,617,8,58.3,48,38.7,6.7,160.9,58.4,False
0.24,627,9.5,64.5,46,43.1,6.4,154.4,60.6,False
0.22,618,11.8,65.9,54,49,4.2,99.6,62.9,False
0.23,614,12.8,68,55,51.1,4.9,118.7,64,False
0.25,623,11.5,70.1,46,48.1,5.3,127.4,65.2,False
0.24,629,11.3,65.9,52,47.8,5,121.1,65.4,False
0.24,625,10.7,64.7,51,46.4,5.5,131,64.9,False
0.23,631,9.5,62,50,43.2,5.8,138.9,65.2,False
0.2,573,9.9,59.8,57,44.4,6.8,164,64.4,False
0.14,420,9.7,57.3,60,43.6,6,145.2,62.6,False
0.21,587,10.1,59.3,59,44.8,7.3,175,63,False
0.19,587,10.4,58.8,61,45.5,5.4,130.4,63.6,False
0.24,622,9.6,62.8,49,43.3,7.3,174.3,64.3,False
0.24,670,10.5,62.7,54,45.8,5.2,123.7,64.9,False
0.23,672,11.1,63,56,47.3,4.8,115.5,65.3,False
