@relation 'daily_preprocessing-weka.filters.unsupervised.attribute.Remove-R4-5,7-8-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-V'

@attribute ETo..in. numeric
@attribute Sol.Rad..Ly.day. numeric
@attribute Avg.Vap.Pres..mBars. numeric
@attribute Avg.Air.Temp..F. numeric
@attribute Avg.Rel.Hum.... numeric
@attribute Dew.Point..F. numeric
@attribute Avg.Wind.Speed..mph. numeric
@attribute Wind.Run..miles. numeric
@attribute Avg.Soil.Temp..F. numeric
@attribute class {False,True}

@data
0.05,190,8.3,51.1,65,39.8,2.9,68.9,47.8,False
0.11,337,5.5,58.1,33,29.3,2.3,54,56.9,False
0.06,231,11.5,55,78,48.2,4.7,113.8,53.6,False
0.01,70,10.8,47.6,96,46.5,3.1,74,50.4,False
0.27,729,17.2,72.5,63,59.2,4.6,111,70.5,False
0.04,164,12.9,53.7,91,51.3,3,71.1,54.5,False
0.15,386,10,61.1,54,44.4,6.6,157.4,62.7,False
0.06,177,6.8,51.4,53,34.7,3.2,77,47.7,False
0,52,11.2,47.6,100,47.4,2.8,67.9,51.2,False
0,27,13.1,51.8,100,51.8,3.1,74.7,52.7,False
0.21,554,13.1,68.6,55,51.7,5.2,125.3,72.1,False
0.07,200,7.2,47.5,65,36.2,6,143.6,49.2,False
0.04,164,8.4,46.4,78,40,3.8,90.8,48.1,False
0.09,272,8.9,59.1,52,41.4,2.8,67.9,58.2,False
0.06,240,9.5,47.4,85,43.1,4.3,102,49.4,False
0.07,228,9.6,50.6,76,43.3,4.8,114.1,50,False
0.17,278,5,52.9,37,27.2,11.1,267.3,52.9,False
0.08,264,8.6,53,62,40.5,3.9,94.5,55.1,False
0.3,717,13.4,79.3,39,52.4,5,119,73.9,False
0.22,556,13.7,66.5,62,53,8.1,195.6,72.5,False
0.08,248,9.9,57,63,44.4,4,95.8,52.1,False
0.28,750,13.3,72,50,52.2,4.8,114.3,72,False
0.08,262,11.4,59.6,65,48,4.1,99.2,53.9,False
0.05,189,12,57.1,75,49.3,3.1,75.2,54.3,False
0.29,756,17.5,74.4,60,59.7,5.4,129.2,73.8,False
0.15,266,7.1,62,37,35.8,7.2,172,53.8,False
0.08,38,12.1,60.8,67,49.6,4,94.8,56.8,False
0.1,303,9.9,59.4,57,44.4,3.3,78.6,54.8,False
0.11,305,10,60.6,55,44.5,3.6,86.3,54.9,False
0.25,601,15.5,74.6,53,56.3,6.9,166.4,76.1,False
0.11,222,5.9,53.3,42,31,8.5,203.3,52,False
0.12,349,12.1,61.1,66,49.6,6.2,147.9,62.4,False
0.12,334,5.2,51.2,40,28,5.9,142,51,False
0.1,274,6.5,50.9,51,33.6,5.4,128.5,50.8,False
0.16,350,5.3,52.6,39,28.6,9.5,227.1,51,False
0.13,346,5,52.1,37,26.9,5,120,50,False
0.11,343,7.1,54.2,49,35.7,3.4,80.6,51.5,False
0.23,560,10.2,78.9,30,45.1,4.2,101.2,72.5,False
0.32,699,14.1,84.1,35,53.7,5.6,135.3,75,False
0.1,325,4.2,44.1,42,22.7,5.1,123.3,48.2,False
0.1,367,4.9,44.9,48,26.6,4.1,98.5,48.4,False
0.22,496,15.4,75.5,51,56.2,7.6,183.5,72.5,False
0.12,356,5.9,46.2,56,31.2,6.6,158.3,47,False
0.12,385,6.6,51.3,51,33.9,5.4,130.5,49.8,False
0.17,405,4.2,47.7,37,22.8,10.8,259.6,48.3,False
0.09,279,7.4,47,67,36.8,5.5,132.8,48,False
